<pre>
# ---------------------------
  code ; shortcut ; reference
  7.00 ; GUES ; Guess  multiplet table indicates that a line is present.
  7.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  7.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  7.00 ; NSW  ; Nicolaides, C., Sinanoglu, O., and Westhaus, P. 1971, Phys. Rev. A 4, 1400.
  7.01 ; DBG  ; Dumont, P.D., Biemont, E., Grevesse, N. 1974, JQSRT 14, 1127.
  7.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  7.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  7.01 ; NSW  ; Nicolaides, C., Sinanoglu, O., and Westhaus, P. 1971, Phys. Rev. A 4, 1400.
  7.01 ; TA   ; Tatum, J.B. 1968, MNRAS 140, 87.
  7.02 ; GAN  ; Ganas, P.S. 1979, J. Chem. Phys. 71, 1981.
  7.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  7.02 ; MC   ; McEachran, R.P., and Cohen, M. 1971, JQSRT, 11, 1819.
  7.02 ; N    ; Nussbaumer, H. 1971, ApJ 170, 93.
  7.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  7.02 ; NS2  ; Nussbaumer, H. and Storey, P.J. 1979, A&A 71, L5.   
  7.03 ; FT   ; Friedrich, H. and Trefftz, E. 1969, MPI-PAE/Astro 29.
  7.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  7.03 ; NS   ; Nussbaumer, H. and Storey, P.J. 1979, A&A 74, 244.
  7.03 ; NU   ; Nussbaumer, H. 1969 MNRAS 145, 141.
  7.04 ; DM   ; Davis, J. and Morin, S. 1970, JQSRT 10, 357-364.
  7.04 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  7.04 ; SMWI ; Smith, M.W. and Wiese, W.L. 1971, Ap.J.Supp., 23, 103.
  7.04 ; W    ; Warner, B. 1968, MNRAS 141, 273.
  7.05 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.00 ; BDEL ; Bromander, J., Duric, N., Erman, P., and Larsson, M. 1978, Phys. Scripta, 17, 119.
  8.00 ; GUES ; Guess  multiplet table indicates that a line is present.
  8.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  8.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  8.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
