<pre>
# ---------------------------
  code ; shortcut ; reference
 18.02 ; CDD  ; Ceyzeriat, P., Senis, A., Dufay, M. 1971, JOSA 61, 641.
 18.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 18.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 18.02 ; RSS  ; Rostovikova, G.S., Samoilov, V.P., and Smirnov, U.M. 1971, Opt. Spectr. 35, 222. 
 18.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 18.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 18.04 ; AYM  ; Aymar, M. 1974, Physica 74, 205.
 18.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 19.00 ; EXTR ; extrapolated
 19.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 19.00 ; MS   ; Mazing, M.A. and Serapinas, P.D. 1969, Opt. Spectr. 27, 482-485.
 19.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 19.01 ; BBB  ; Berry, H.G., Bromander, J., and Buchta, R. 1970, Phys. Scripta 1, 179-180..
 19.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 19.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 19.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 19.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 20.00 ; BW   ; Warner, B. 1968, MNRAS 140, 53.
 20.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172. 
 20.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 20.00 ; NEW  ; Newsom. G.H. 1966, Proc. Phys. Soc. 87, 975.
 20.00 ; NEWS ; Newsom, G.H. 1968, ApJ 154, 1095-1098.
 20.01 ; BWL  ; Black, J.H., Wisheit, J.C., and Laviana, E. 1972, ApJ 177, 567.
 20.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 20.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 20.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.00 ; FPAR ; Parkinson, W.H. Reeves, E.M., and Tomkins, F.S. 1976, Proc. Roy. Soc. A 352, 569.
 21.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.00 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.00 ; NBS  ; Wiese, W.L. and Fuhr, J.R. 1975, J.Phys.Chem.Ref.Data 4, 263.
 21.00 ; PARK ; Parkinson, W.H. Reeves, E.M., and Tomkins, F.S. 1976, Proc. Roy. Soc. A 352, 569.
 21.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.01 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.01 ; NBS  ; Wiese, W.L. and Fuhr, J.R. 1975, J.Phys.Chem.Ref.Data 4, 263.
 21.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.02 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.03 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.04 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.06 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.07 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 21.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 21.08 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.00 ; KLEM ; Klemt, M., 1973, A&A 29, 419.
 22.00 ; LCJ  ; Lotrian, J., Cariou, J., and Johannin-Gilles, A. 1975, JQSRT, 15, 815.
 22.00 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.00 ; NBS  ; Wiese, W.L. and Fuhr, J.R. 1975, J.Phys.Chem.Ref.Data 4, 263.
 22.00 ; SK   ; Smith, P.L. and Kuhne, M. 1978, Proc. Roy. Soc. A 363, 263.
 22.00 ; WOLN ; Wolnik, S.J. and Berthel, R.O. 1973, ApJ 179, 665.
 22.01 ; CWAR ; Warner, B. 1967, Mem.RAS 70, 165.  corrected after Smith, P.L. 1976, MNRAS 177. 275.
 22.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.01 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.01 ; NBS  ; Wiese, W.L. and Fuhr, J.R. 1975, J.Phys.Chem.Ref.Data 4, 263.
 22.01 ; RVC  ; Roberts, J.R., Voigt, P.A., and Czernichowski, A. 1975, ApJ. 197, 791.
 22.01 ; WB   ; Wolnik, S.J. and Berthel, R.O. 1973, ApJ 179, 665.
 22.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.02 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.03 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.04 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.05 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.06 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.07 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 22.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 22.08 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172. 
 23.00 ; KING ; King, R.B. 1947, ApJ 105, 376. normalized as in NBS
 23.00 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.01 ; CWAR ; Warner, B. 1967, Mem.RAS 70, 165.  corrected after Smith, P.L. 1976, MNRAS 177. 275.
 23.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.01 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.01 ; NBS  ; Younger, S.M., Fuhr, J.R., Martin, G.A., and  Wiese, W.L. 1978, J.Phys.Chem.Ref.Data 7, 495.
 23.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.02 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.03 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.04 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.05 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.06 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.07 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 23.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 23.08 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.00 ; BYAR ; Byard, P.L. 1968, JQSRT 8, 1543.
 24.00 ; CSE  ; Cock, C.L., Stark, A., and Evans, J.C. 1973, ApJ 184, 653.
 24.00 ; HS   ; Huber, M.C.E. and Sandeman, R.J. 1977, Proc. Roy. Soc. A 357, 355.
 24.00 ; HST  ; Huber, M.C.E., Sandeman, R.J., and Tubbs, E.F. 1975, Proc. Roy. Soc. A 342, 431.
 24.00 ; HT   ; Huber, M.C.E. and Tobey, F.L. 1968, ApJ 152, 609.
 24.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.00 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.00 ; NBS  ; Younger, S.M., Fuhr, J.R., Martin, G.A., and  Wiese, W.L. 1978, J.Phys.Chem.Ref.Data 7, 495.
 24.00 ; WBCW ; Wolnik, S.J., Berthel, R.O., Carnevale, E.H., and Wares, G.W. 1969, ApJ 157, 983.  
 24.01 ; BYAR ; Byard, P.L. 1968, JQSRT 8, 1543.
 24.01 ; CWAR ; Warner, B. 1967, Mem.RAS 70, 165.  corrected after Smith, P.L. 1976, MNRAS 177. 275.
 24.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.01 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.01 ; NBS  ; Younger, S.M., Fuhr, J.R., Martin, G.A., and  Wiese, W.L. 1978, J.Phys.Chem.Ref.Data 7, 495.
 24.01 ; SHAC ; Shackleford, W.L. 1965, JQSRT 5, 303.
 24.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.04 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.05 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.06 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.07 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 24.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 24.08 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 25.00 ; BC   ; Blackwell, D.E. and Collins, B.S. 1972, MNRAS 157, 255.
 25.00 ; GW   ; Greenlee, T.R. and Whaling, W. 1979, JQSRT 21, 55.
 25.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.00 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 25.00 ; NBS  ; Younger, S.M., Fuhr, J.R., Martin, G.A., and  Wiese, W.L. 1978, J.Phys.Chem.Ref.Data 7, 495.
 25.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.01 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 25.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.05 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 25.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.06 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 25.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.07 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 25.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 25.08 ; MFW  ; Martin, G.A., Fuhr, J.R., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 3.
 26.00 ; BH   ; Banfield, F.P. and Huber, M.C.E. 1973, ApJ 186, 335.  normalized as in NBS
 26.00 ; BIPS ; Blackwell, D.E., Ibbetson, P.A., Petford, A.D., and Shallis, M.J. 1979, MNRAS 186, 633.
 26.00 ; BK   ; Bridges, J.M. and Kornblith, R.L. 1974, 192, 793.
 26.00 ; FHSW ; Figger, H., Heldt, J., Siomos, K., and Walther, H. 1975, A&A 43, 389.
 26.00 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 26.00 ; GHP  ; Grasdalen, G.L., Huber, M., Parkinson, W.H. 1969, ApJ 156, 1153.
 26.00 ; HTOB ; Huber, M.C.E. and Tobey, F.L. 1968, ApJ 152, 609.  normalized as in NBS  
 26.00 ; HUBR ; Huber, M.C.E. 1974, ApJ 190, 237.
 26.00 ; HZ   ; Hilborn, R.C. and de Zafra, R. 1973, ApJ 183, 347.
 26.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.00 ; MRW  ; May, M., Richter, J., and Wichelmann, J. 1974, A&A Suppl. 18, 405.
 26.00 ; WBW2 ; Wolnik, S.J., Berthel, R.O., and Wares, G.W. 1971, ApJ Lett. 166, l31.
 26.00 ; WMML ; Whaling, W., Martinez-Garcia, M., Mickey, D.L., and Lawrence, G.M. 1970, Nucl. Instrum. Methods 90, 363.
 26.01 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 26.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.02 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 26.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.06 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 26.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.07 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 26.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 26.08 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 26.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.00 ; FHSW ; Figger, H., Heldt, J., Siomos, K., and Walther, H. 1975, A&A 43, 389.
 27.00 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 27.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.00 ; NBS  ; Fuhr, J.R., Martin, G.A., Wiese, W.L., and Younger, S.M., 1981, J.Phys.Chem.Ref.Data 10, 305.
 27.00 ; RMC  ; Roig, R.A. and Miller, M.H. 1979, JOSA 64, 1479.
 27.01 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 27.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.07 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 27.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 27.08 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 27.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.00 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 28.00 ; HEIS ; Heise, H. 1974, A&A 34, 275.
 28.00 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.00 ; KING ; King, R.B. 1947, ApJ 108, 87.
 28.00 ; LW   ; Laurent, J. and Weniger, S. 1970, JQSRT 10, 315.
 28.00 ; LWST ; Lennard, W.N., Whaling, W., Scalo, J.M., and Testerman, L. 1975, ApJ 197, 517.
 28.00 ; NBS  ; Fuhr, J.R., Martin, G.A., Wiese, W.L., and Younger, S.M., 1981, J.Phys.Chem.Ref.Data 10, 305.
 28.01 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 28.01 ; GMW  ; Goly, A., Moity, J., and Weniger, S. 1975, A&A 38, 259.
 28.01 ; HEIS ; Heise, H. 1974, A&A 34, 275.
 28.01 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.01 ; MOIT ; Moity, J. 1978, A&A 64, 165.
 28.02 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 28.02 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.03 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.  
 28.04 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.05 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.06 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.07 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 28.08 ; FMW  ; Fuhr, J.R., Martin, G.A., and Wiese, W.L. 1988. J.Phys.Chem.Ref.Data 17, Suppl. 4.
 28.08 ; K88  ; Kurucz, R.L. 1988, Trans. IAU, XXB, M. McNally, ed., Dordrecht: Kluwer, 168-172.
 29.00 ; BIEL ; Bielski, A. 1975, JQSRT 15, 463.
 29.00 ; BIEM ; Biemont, E. 1973, Bull. Soc. Roy. Sci. Liege 42, 206.
 29.00 ; CORL ; Corliss, C.H. 1970, J. Res. Nat. Bur. Stand. 74A, 781.
 29.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 29.01 ; KR   ; Kock, M. and Richter, J. 1968, Z. Astrophys. 69, 180.
 30.00 ; AJG  ; Abjean, R. and Johannin-Gilles, A. 1975, JQSRT 15, 25.
 30.00 ; AS   ; Anderson, T. and Sorensen, G. 1973, JQSRT, 13, 369-376.
 30.00 ; AZ   ; Antena, A.A. and Zilitis, V.A. 1969, Opt. Spectroc. 26, 79.
 30.00 ; LMW  ; Lambert, D.L., Mallia, E.A., and Warner, B. 1969, MNRAS 142, 71.
 30.00 ; MOIS ; Moise, N.L. 1966, ApJ 144, 782.
 30.00 ; WAR  ; Warner, B. 1968, MNRAS 140, 53-59.
 30.01 ; AS   ; Anderson, T. and Sorensen, G. 1973, JQSRT, 13, 369-376.
 30.01 ; BS   ; Baumann, S.R. and Smith, W.H. 1970, JOSA 60, 345.
 30.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 31.00 ; CB   ; Corliss, C.H. and Bozman, W.R. 1962, NBS Monograph 53.
 31.00 ; GUES ; Guess  multiplet table indicates that a line is present.
 31.01 ; WA   ; Warner, B. 1968, MNRAS 140, 53-59.    
 32.00 ; CB   ; Corliss, C.H. and Bozman, W.R. 1962, NBS Monograph 53.
